user_id	opinion	raw_opinion	time
0.0	4.0	0.8373	0.0
127.0	3.0	0.3964	0.0
128.0	2.0	-0.1577	0.0
129.0	1.0	-0.5265	0.0
130.0	0.0	-0.6561	0.0
131.0	1.0	-0.234	0.0
132.0	3.0	0.3955	0.0
133.0	2.0	0.0377	0.0
134.0	4.0	0.6788	0.0
135.0	1.0	-0.4002	0.0
136.0	1.0	-0.5037	0.0
137.0	4.0	0.8319	0.0
138.0	2.0	-0.1626	0.0
139.0	2.0	0.0726	0.0
140.0	3.0	0.2521	0.0
141.0	0.0	-0.8221	0.0
142.0	1.0	-0.2287	0.0
143.0	0.0	-0.9271	0.0
144.0	3.0	0.2067	0.0
145.0	2.0	0.0308	0.0
146.0	3.0	0.4782	0.0
147.0	4.0	0.6915	0.0
126.0	1.0	-0.5727	0.0
148.0	3.0	0.2384	0.0
125.0	0.0	-0.7423	0.0
123.0	1.0	-0.3514	0.0
102.0	2.0	-0.085	0.0
103.0	1.0	-0.3742	0.0
104.0	2.0	0.1091	0.0
105.0	3.0	0.4902	0.0
106.0	0.0	-0.7613	0.0
107.0	1.0	-0.4419	0.0
108.0	3.0	0.2474	0.0
109.0	2.0	0.162	0.0
110.0	2.0	-0.0433	0.0
111.0	2.0	0.1638	0.0
112.0	0.0	-0.7423	0.0
113.0	2.0	0.1924	0.0
114.0	3.0	0.4181	0.0
115.0	4.0	0.8036	0.0
116.0	4.0	0.6242	0.0
117.0	4.0	0.7796	0.0
118.0	1.0	-0.4294	0.0
119.0	1.0	-0.5553	0.0
120.0	0.0	-0.7144	0.0
121.0	2.0	-0.1784	0.0
122.0	2.0	-0.199	0.0
124.0	2.0	0.1241	0.0
150.0	4.0	0.6162	0.0
151.0	0.0	-0.7807	0.0
152.0	2.0	-0.1693	0.0
179.0	0.0	-0.6819	0.0
180.0	1.0	-0.2024	0.0
181.0	3.0	0.293	0.0
182.0	1.0	-0.3031	0.0
183.0	1.0	-0.3598	0.0
184.0	1.0	-0.2454	0.0
185.0	1.0	-0.2618	0.0
186.0	4.0	0.6286	0.0
187.0	4.0	0.8256	0.0
188.0	0.0	-0.7823	0.0
189.0	1.0	-0.5477	0.0
190.0	1.0	-0.2921	0.0
191.0	1.0	-0.2662	0.0
192.0	2.0	0.0863	0.0
193.0	4.0	0.9474	0.0
194.0	2.0	0.1734	0.0
195.0	3.0	0.5432	0.0
196.0	4.0	0.9142	0.0
197.0	0.0	-0.8605	0.0
