user_id	opinion	raw_opinion	time
0.0	1.0	-0.2903	0.0
127.0	2.0	0.079	0.0
128.0	2.0	-0.0537	0.0
129.0	2.0	0.1334	0.0
130.0	2.0	0.0017	0.0
131.0	0.0	-0.6554	0.0
132.0	3.0	0.4507	0.0
133.0	3.0	0.3985	0.0
134.0	1.0	-0.369	0.0
135.0	4.0	0.9764	0.0
136.0	1.0	-0.4784	0.0
137.0	1.0	-0.4046	0.0
138.0	3.0	0.5795	0.0
139.0	2.0	0.1628	0.0
140.0	1.0	-0.5683	0.0
141.0	3.0	0.3168	0.0
142.0	4.0	0.9665	0.0
143.0	1.0	-0.3094	0.0
144.0	3.0	0.5277	0.0
145.0	3.0	0.4053	0.0
146.0	1.0	-0.3661	0.0
147.0	2.0	-0.1134	0.0
126.0	2.0	0.1643	0.0
148.0	3.0	0.5907	0.0
125.0	1.0	-0.2267	0.0
123.0	4.0	0.8921	0.0
102.0	0.0	-0.7918	0.0
103.0	0.0	-0.7082	0.0
104.0	2.0	-0.0902	0.0
105.0	0.0	-0.6577	0.0
106.0	1.0	-0.3467	0.0
107.0	1.0	-0.4207	0.0
108.0	1.0	-0.2456	0.0
109.0	4.0	0.7277	0.0
110.0	0.0	-0.7117	0.0
111.0	3.0	0.2741	0.0
112.0	4.0	0.954	0.0
113.0	2.0	0.0026	0.0
114.0	0.0	-0.7995	0.0
115.0	4.0	0.8414	0.0
116.0	4.0	0.6894	0.0
117.0	2.0	-0.1274	0.0
118.0	3.0	0.5876	0.0
119.0	3.0	0.3965	0.0
120.0	3.0	0.5577	0.0
121.0	4.0	0.653	0.0
122.0	3.0	0.3593	0.0
124.0	4.0	0.7366	0.0
150.0	3.0	0.2873	0.0
151.0	4.0	0.9292	0.0
152.0	0.0	-0.9542	0.0
179.0	1.0	-0.3763	0.0
180.0	4.0	0.632	0.0
181.0	4.0	0.6787	0.0
182.0	3.0	0.5909	0.0
183.0	4.0	0.9779	0.0
184.0	1.0	-0.4502	0.0
185.0	4.0	0.7544	0.0
186.0	1.0	-0.3809	0.0
187.0	3.0	0.2754	0.0
188.0	4.0	0.8893	0.0
189.0	0.0	-0.8878	0.0
190.0	3.0	0.5863	0.0
191.0	1.0	-0.2808	0.0
192.0	0.0	-0.711	0.0
193.0	1.0	-0.383	0.0
194.0	1.0	-0.4708	0.0
195.0	2.0	-0.0741	0.0
196.0	4.0	0.8058	0.0
197.0	2.0	0.0782	0.0
198.0	0.0	-0.6037	0.0
199.0	1.0	-0.427	0.0
178.0	4.0	0.7183	0.0
177.0	2.0	-0.0304	0.0
176.0	1.0	-0.3569	0.0
